,CountryName,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
100,Latvia,High,,,,,,,,,,,4.59,,6.5,,,91.0,,69.0,,521.0,,,,
101,Latvia,Low,,,,,,,,,,,23.29,,5.4,,,82.0,,28.0,,456.0,,,,
102,Latvia,Men,,,84.0,1.7,72.0,72.4,7.2,,,,11.1,69.8,5.9,4.06,,83.0,,53.0,,478.0,14.2,,79.0,17.4
103,Latvia,Total,11.0,13.9,88.0,1.27,70.0,62.4,4.8,16275.0,70160.0,23.0,9.6,74.7,5.9,3.35,23683.0,86.0,1.2,47.0,2.2,487.0,13.83,59.0,79.0,18.0
104,Latvia,Women,,,91.0,0.87,68.0,54.4,2.8,,,,8.0,79.6,6.0,2.65,,89.0,,43.0,,496.0,13.45,,80.0,18.7
105,Lithuania,High,,,,,,,,,,,,,6.5,,,92.0,,67.0,,519.0,,,,
106,Lithuania,Low,,,,,,,,,,,,,5.6,,,87.0,,29.0,,438.0,,,,
107,Lithuania,Men,,,90.0,0.67,71.0,61.6,5.2,,,,,69.5,5.9,3.22,,87.0,,49.0,,468.0,,,79.0,18.0
108,Lithuania,Total,14.0,13.6,93.0,0.54,70.0,55.9,3.4,21660.0,,19.0,,74.8,5.9,2.69,24287.0,88.0,1.5,43.0,2.4,475.0,,51.0,81.0,18.4
109,Lithuania,Women,,,95.0,0.43,70.0,51.2,1.7,,,,,80.1,6.0,2.18,,88.0,,40.0,,483.0,,,82.0,18.8
110,Luxembourg,High,,,,,,,,,,,2.02,,,,,,,74.0,,549.0,,,,
111,Luxembourg,Low,,,,,,,,,,,1.59,,,,,,,65.0,,428.0,,,,
112,Luxembourg,Men,,,77.0,5.52,70.0,80.3,0.6,,,,1.4,80.1,7.0,2.69,,94.0,,72.0,,483.0,,,85.0,15.0
113,Luxembourg,Total,12.0,0.5,77.0,3.82,66.0,75.8,0.6,39264.0,769053.0,21.0,1.7,82.8,6.9,2.35,63062.0,93.0,1.9,69.0,1.7,483.0,,91.0,84.0,15.1
114,Luxembourg,Women,,,76.0,1.88,63.0,71.5,0.5,,,,1.9,85.4,6.8,1.99,,92.0,,67.0,,484.0,,,83.0,15.2
115,Mexico,High,,,,,,,,,,,6.26,,,,,87.0,,,,447.0,,,,
116,Mexico,Low,,,,,,,,,,,4.22,,,,,78.0,,,,385.0,,,,
117,Mexico,Men,,,38.0,35.53,79.0,45.8,33.9,,,,5.5,72.9,6.4,0.06,,79.0,,67.0,,416.0,,,67.0,15.0
118,Mexico,Total,16.0,25.5,38.0,28.7,61.0,41.8,18.1,,,20.0,5.5,75.4,6.5,0.07,15314.0,81.0,1.0,66.0,3.2,416.0,,63.0,68.0,15.2
119,Mexico,Women,,,37.0,17.61,45.0,38.3,3.9,,,,5.5,77.9,6.5,0.07,,83.0,,64.0,,416.0,,,68.0,15.3
120,Netherlands,High,,,,,,,,,,,3.07,,7.7,,,,,86.0,,556.0,,,,
121,Netherlands,Low,,,,,,,,,,,7.18,,,,,,,65.0,,468.0,,,,
122,Netherlands,Men,,,79.0,0.73,80.0,91.4,0.8,,,,4.9,80.0,7.4,1.81,,92.0,,79.0,,505.0,,,94.0,18.6
123,Netherlands,Total,14.0,0.1,78.0,0.42,76.0,82.0,0.6,29333.0,157824.0,19.0,4.8,81.6,7.4,1.97,52877.0,91.0,1.9,76.0,2.6,508.0,,82.0,93.0,18.7
124,Netherlands,Women,,,78.0,0.09,71.0,72.8,0.4,,,,4.7,83.2,7.5,2.15,,90.0,,73.0,,511.0,,,92.0,18.7
125,New Zealand,High,,,,,,,,,,,,,,,,98.0,,93.0,,554.0,,,,
126,New Zealand,Low,,,,,,,,,,,,,,,,,,,,459.0,,,,
127,New Zealand,Men,,,78.0,21.37,82.0,81.3,1.9,,,,,80.0,7.2,0.72,,95.0,,88.0,,503.0,14.83,,91.0,17.2
128,New Zealand,Total,5.0,,79.0,15.11,77.0,65.7,1.3,,388514.0,26.0,4.7,81.7,7.3,0.74,40043.0,96.0,2.4,88.0,2.5,506.0,14.87,80.0,89.0,17.7
129,New Zealand,Women,,,79.0,8.63,72.0,51.8,0.7,,,,,83.4,7.4,0.75,,96.0,,88.0,,509.0,14.95,,87.0,18.2
130,Norway,High,,,,,,,,,,,,,7.8,,,96.0,,86.0,,539.0,,,,
131,Norway,Low,,,,,,,,,,,,,7.5,,,91.0,,69.0,,472.0,,,,
132,Norway,Men,,,81.0,4.39,76.0,96.5,0.3,,,,,80.7,7.6,0.8,,95.0,,79.0,,498.0,15.48,,98.0,17.9
133,Norway,Total,5.0,0.0,82.0,2.93,74.0,90.1,0.4,35725.0,228936.0,17.0,,82.5,7.6,0.66,51212.0,94.0,2.1,77.0,2.2,504.0,15.56,78.0,98.0,18.3
134,Norway,Women,,,83.0,1.34,72.0,83.5,0.5,,,,,84.2,7.6,0.51,,94.0,,75.0,,511.0,15.65,,97.0,18.8
135,Poland,High,,,,,,,,,,,2.92,,,,,,,72.0,,549.0,,,,
136,Poland,Low,,,,,,,,,,,15.0,,,,,,,52.0,,466.0,,,,
137,Poland,Men,,,92.0,9.24,73.0,73.9,1.1,,,,6.0,73.9,6.0,1.55,,84.0,,62.0,,502.0,14.67,,83.0,17.0
138,Poland,Total,22.0,3.0,92.0,5.95,66.0,67.3,0.7,19814.0,210991.0,22.0,5.7,78.0,6.1,1.52,27046.0,86.0,1.1,58.0,2.6,504.0,14.42,55.0,82.0,17.6
139,Poland,Women,,,92.0,2.28,59.0,61.2,0.4,,,,5.3,82.0,6.2,1.47,,88.0,,56.0,,506.0,14.08,,81.0,18.4
140,Portugal,High,,,,,,,,,,,7.46,,6.4,,,93.0,,61.0,,551.0,,,,
141,Portugal,Low,,,,,,,,,,,10.76,,4.7,,,84.0,,36.0,,456.0,,,,
142,Portugal,Men,,,43.0,11.29,71.0,84.8,1.0,,,,10.2,78.1,5.4,4.25,,88.0,,53.0,,497.0,,,87.0,16.9
143,Portugal,Total,10.0,1.0,48.0,8.27,68.0,73.4,1.0,21203.0,232666.0,21.0,10.0,81.2,5.4,4.43,25367.0,88.0,1.7,48.0,1.5,497.0,,56.0,86.0,16.9
144,Portugal,Women,,,52.0,5.46,65.0,63.1,1.0,,,,9.7,84.3,5.5,4.61,,87.0,,43.0,,496.0,,,86.0,17.0
145,Russia,High,,,,,,,,,,,,,6.2,,,92.0,,,,520.0,,,,
146,Russia,Low,,,,,,,,,,,,,5.7,,,,,,,464.0,,,,
147,Russia,Men,,,93.0,0.23,76.0,63.1,16.0,,,,,66.5,5.9,1.6,,89.0,,49.0,,489.0,,,58.0,16.0
148,Russia,Total,15.0,14.8,94.0,0.14,70.0,52.8,9.6,,,18.0,,71.8,5.8,1.59,,89.0,0.9,43.0,,492.0,,68.0,55.0,16.2
149,Russia,Women,,,95.0,0.05,65.0,44.5,4.2,,,,,77.1,5.8,1.57,,90.0,,38.0,,494.0,,,53.0,16.4
150,Slovakia,High,,,,,,,,,,,5.02,,7.1,,,93.0,,80.0,,514.0,,,,
151,Slovakia,Low,,,,,,,,,,,72.16,,,,,,,64.0,,414.0,,,,
152,Slovakia,Men,,,93.0,6.04,72.0,71.7,1.0,,,,8.4,73.8,6.3,4.91,,91.0,,70.0,,458.0,,,84.0,15.3
153,Slovakia,Total,21.0,1.2,91.0,4.14,66.0,63.5,0.8,20474.0,119696.0,23.0,9.9,77.3,6.2,4.78,24328.0,91.0,1.1,66.0,3.0,463.0,,60.0,85.0,15.8
154,Slovakia,Women,,,90.0,2.04,60.0,55.9,0.6,,,,11.4,80.7,6.1,4.63,,91.0,,63.0,,468.0,,,85.0,16.2
155,Slovenia,High,,,,,,,,,,,3.84,,,,,,,76.0,,552.0,,,,
156,Slovenia,Low,,,,,,,,,,,10.55,,,,,,,53.0,,472.0,,,,
157,Slovenia,Men,,,89.0,6.2,73.0,93.1,0.5,,,,5.0,78.2,6.0,3.1,,91.0,,68.0,,502.0,15.27,,90.0,17.7
158,Slovenia,Total,16.0,0.4,88.0,4.39,69.0,86.1,0.6,20820.0,203044.0,18.0,5.8,81.3,5.9,3.17,34933.0,92.0,1.5,64.0,2.5,509.0,14.75,53.0,90.0,18.3
159,Slovenia,Women,,,87.0,2.41,66.0,79.3,0.7,,,,6.5,84.3,5.9,3.26,,92.0,,61.0,,517.0,14.17,,89.0,19.1
160,South Africa,Men,,,73.0,22.08,49.0,45.4,24.7,,,,,55.5,4.7,14.42,,88.0,,,,,15.02,,70.0,
