Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,AgeGroup,AgeGroupCode,SuicideRate
2019,Greece,GRC,Europe,EUR,Both sexes,BTSX,85+ years,YEARS85PLUS,7.58
2019,Guinea-Bissau,GNB,Africa,AFR,Male,MLE,15-24 years,YEARS15-24,7.59
2019,Norway,NOR,Europe,EUR,Female,FMLE,35-44 years,YEARS35-44,7.59
2019,Seychelles,SYC,Africa,AFR,Both sexes,BTSX,15-24 years,YEARS15-24,7.59
2019,Afghanistan,AFG,Eastern Mediterranean,EMR,Both sexes,BTSX,25-34 years,YEARS25-34,7.6
2019,El Salvador,SLV,Americas,AMR,Both sexes,BTSX,75-84 years,YEARS75-84,7.6
2019,Libya,LBY,Eastern Mediterranean,EMR,Male,MLE,55-64 years,YEARS55-64,7.6
2019,Timor-Leste,TLS,South-East Asia,SEAR,Male,MLE,15-24 years,YEARS15-24,7.6
2019,Austria,AUT,Europe,EUR,Female,FMLE,35-44 years,YEARS35-44,7.61
2019,Brazil,BRA,Americas,AMR,Both sexes,BTSX,15-24 years,YEARS15-24,7.61
2019,Namibia,NAM,Africa,AFR,Female,FMLE,45-54 years,YEARS45-54,7.61
2019,Zimbabwe,ZWE,Africa,AFR,Female,FMLE,25-34 years,YEARS25-34,7.61
2019,Libya,LBY,Eastern Mediterranean,EMR,Male,MLE,65-74 years,YEARS65-74,7.62
2019,Zambia,ZMB,Africa,AFR,Male,MLE,15-24 years,YEARS15-24,7.62
2019,Comoros,COM,Africa,AFR,Both sexes,BTSX,35-44 years,YEARS35-44,7.63
2019,Laos,LAO,Western Pacific,WPR,Both sexes,BTSX,15-24 years,YEARS15-24,7.63
2019,Bosnia and Herzegovina,BIH,Europe,EUR,Both sexes,BTSX,25-34 years,YEARS25-34,7.64
2019,Romania,ROU,Europe,EUR,Male,MLE,15-24 years,YEARS15-24,7.64
2019,Tajikistan,TJK,Europe,EUR,Both sexes,BTSX,45-54 years,YEARS45-54,7.64
2019,Timor-Leste,TLS,South-East Asia,SEAR,Male,MLE,25-34 years,YEARS25-34,7.64
2019,Yemen,YEM,Eastern Mediterranean,EMR,Both sexes,BTSX,15-24 years,YEARS15-24,7.66
2019,Gabon,GAB,Africa,AFR,Male,MLE,15-24 years,YEARS15-24,7.67
2019,Iraq,IRQ,Eastern Mediterranean,EMR,Male,MLE,25-34 years,YEARS25-34,7.67
2019,Slovenia,SVN,Europe,EUR,Both sexes,BTSX,15-24 years,YEARS15-24,7.67
2019,Slovenia,SVN,Europe,EUR,Female,FMLE,35-44 years,YEARS35-44,7.69
2019,Afghanistan,AFG,Eastern Mediterranean,EMR,Male,MLE,65-74 years,YEARS65-74,7.7
2019,Bahrain,BHR,Eastern Mediterranean,EMR,Male,MLE,65-74 years,YEARS65-74,7.7
2019,Libya,LBY,Eastern Mediterranean,EMR,Both sexes,BTSX,35-44 years,YEARS35-44,7.7
2019,Estonia,EST,Europe,EUR,Female,FMLE,15-24 years,YEARS15-24,7.72
2019,Kyrgyz Republic,KGZ,Europe,EUR,Both sexes,BTSX,25-34 years,YEARS25-34,7.72
2019,Sao Tome and Principe,STP,Africa,AFR,Female,FMLE,85+ years,YEARS85PLUS,7.72
2019,Afghanistan,AFG,Eastern Mediterranean,EMR,Female,FMLE,75-84 years,YEARS75-84,7.74
2019,Angola,AGO,Africa,AFR,Female,FMLE,45-54 years,YEARS45-54,7.74
2019,Norway,NOR,Europe,EUR,Both sexes,BTSX,15-24 years,YEARS15-24,7.74
2019,St. Lucia,LCA,Americas,AMR,Both sexes,BTSX,25-34 years,YEARS25-34,7.76
2019,Timor-Leste,TLS,South-East Asia,SEAR,Male,MLE,45-54 years,YEARS45-54,7.76
2019,Tonga,TON,Western Pacific,WPR,Male,MLE,55-64 years,YEARS55-64,7.76
2019,Austria,AUT,Europe,EUR,Both sexes,BTSX,15-24 years,YEARS15-24,7.77
