CountryCode,country-code,iso_3166-2,region-code,sub-region-code,F1,CountryName,region,sub-region,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
EST,233,ISO 3166-2:EE,150,154,47,Estonia,Europe,Northern Europe,Men,,,85,3.72,77,80.7,4.9,,,,4.1,73.3,5.8,2.22,,91,,56,,521,15.33,,85,17.1
EST,233,ISO 3166-2:EE,150,154,46,Estonia,Europe,Northern Europe,Low,,,,,,,,,,,8.03,,5.4,,,89,,33,,494,,,,
EST,233,ISO 3166-2:EE,150,154,45,Estonia,Europe,Northern Europe,High,,,,,,,,,,,2.43,,6.3,,,92,,79,,562,,,,
FIN,246,ISO 3166-2:FI,150,154,54,Finland,Europe,Northern Europe,Women,,,91,1.92,69,76.2,0.6,,,,2.9,84.4,7.8,1.8,,96,,69,,535,15.04,,94,20.3
FIN,246,ISO 3166-2:FI,150,154,53,Finland,Europe,Northern Europe,Total,6,0.5,88,3.81,70,85.1,1.3,29943,200827,23,3.9,81.5,7.6,2.13,42964,95,1.9,70,2.2,523,15.17,67,95,19.8
FIN,246,ISO 3166-2:FI,150,154,52,Finland,Europe,Northern Europe,Men,,,85,5.72,72,94.5,1.9,,,,4.9,78.6,7.5,2.44,,94,,72,,511,15.28,,96,19.4
FIN,246,ISO 3166-2:FI,150,154,51,Finland,Europe,Northern Europe,Low,,,,,,,,,,,7.43,,7.2,,,92,,57,,487,,,,
FIN,246,ISO 3166-2:FI,150,154,50,Finland,Europe,Northern Europe,High,,,,,,,,,,,3.41,,8.2,,,97,,83,,562,,,,
FRA,250,ISO 3166-2:FR,150,155,59,France,Europe,Western Europe,Women,,,78,4.92,62,65.5,0.3,,,,7,85.5,6.4,3.79,,91,,65,,499,15.99,,82,16.8
FRA,250,ISO 3166-2:FR,150,155,58,France,Europe,Western Europe,Total,13,0.5,78,7.67,65,70.5,0.5,31304,280653,21,7.6,82.4,6.5,4,43755,90,1.8,66,2.1,496,16.36,75,81,16.5
FRA,250,ISO 3166-2:FR,150,155,57,France,Europe,Western Europe,Men,,,79,10.38,69,76.1,0.6,,,,8.1,79.2,6.6,4.2,,90,,68,,492,16.66,,80,16.2
FRA,250,ISO 3166-2:FR,150,155,56,France,Europe,Western Europe,Low,,,,,,,,,,,15.09,,5.9,,,80,,61,,442,,,,
FRA,250,ISO 3166-2:FR,150,155,55,France,Europe,Western Europe,High,,,,,,,,,,,4.11,,7.3,,,94,,72,,558,,,,
