,Country name,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,SuicideRate,Population,death_rate_perc,CountryName,region,sub-region,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
27,Norway,7.442,11.061,0.942,73.3,0.954,0.111,0.271,0.823,0.195,9.91,5347896.0,0.757307173,Norway,Europe,Northern Europe,5.0,0.0,82.0,2.93,74.0,90.1,0.4,35725.0,228936.0,17.0,,82.5,7.6,0.66,51212.0,94.0,2.1,77.0,2.2,504.0,15.56,78.0,98.0,18.3
28,Poland,6.242,10.407,0.878,69.7,0.883,-0.231,0.696,0.725,0.168,9.3,37970874.0,1.07351756,Poland,Europe,Eastern Europe,22.0,3.0,92.0,5.95,66.0,67.3,0.7,19814.0,210991.0,22.0,5.7,78.0,6.1,1.52,27046.0,86.0,1.1,58.0,2.6,504.0,14.42,55.0,82.0,17.6
29,Portugal,6.095,10.457,0.876,72.6,0.882,-0.234,0.915,0.71,0.3,7.22,10269417.0,1.085494921,Portugal,Europe,Southern Europe,10.0,1.0,48.0,8.27,68.0,73.4,1.0,21203.0,232666.0,21.0,10.0,81.2,5.4,4.43,25367.0,88.0,1.7,48.0,1.5,497.0,,56.0,86.0,16.9
30,Russia,5.441,10.205,0.91,64.7,0.715,-0.116,0.848,0.691,0.2,21.6,144373535.0,1.247238976,Russia,Europe,Eastern Europe,15.0,14.8,94.0,0.14,70.0,52.8,9.6,,,18.0,,71.8,5.8,1.59,,89.0,0.9,43.0,,492.0,,68.0,55.0,16.2
31,Slovakia,6.243,10.398,0.933,69.2,0.771,-0.129,0.926,0.75,0.252,9.31,5454073.0,0.973859352,Slovakia,Europe,Eastern Europe,21.0,1.2,91.0,4.14,66.0,63.5,0.8,20474.0,119696.0,23.0,9.9,77.3,6.2,4.78,24328.0,91.0,1.1,66.0,3.0,463.0,,60.0,85.0,15.8
32,Slovenia,6.665,10.563,0.949,71.4,0.945,-0.102,0.785,0.679,0.228,13.97,2087946.0,0.984077174,Slovenia,Europe,Southern Europe,16.0,0.4,88.0,4.39,69.0,86.1,0.6,20820.0,203044.0,18.0,5.8,81.3,5.9,3.17,34933.0,92.0,1.5,64.0,2.5,509.0,14.75,53.0,90.0,18.3
33,South Africa,5.035,9.432,0.848,56.9,0.738,-0.134,0.82,0.801,0.268,23.49,58558270.0,,South Africa,Africa,Southern Africa,22.0,37.0,73.0,18.12,43.0,36.1,13.7,,,18.0,,57.5,4.7,16.46,,88.0,,,,,14.92,73.0,67.0,
34,Spain,6.457,10.618,0.949,74.7,0.778,-0.049,0.73,0.663,0.316,5.28,47076781.0,0.881355928,Spain,Europe,Southern Europe,11.0,0.1,59.0,4.01,62.0,82.1,0.6,23999.0,373548.0,21.0,23.1,83.4,6.3,7.66,38507.0,93.0,1.9,72.0,1.8,491.0,15.93,70.0,72.0,17.9
35,Sweden,7.398,10.882,0.934,72.7,0.942,0.091,0.25,0.826,0.202,12.37,10285453.0,0.860876035,Sweden,Europe,Northern Europe,6.0,0.0,83.0,1.07,77.0,75.6,0.9,31287.0,,19.0,3.2,82.4,7.3,1.12,42393.0,91.0,1.7,75.0,2.0,496.0,15.18,86.0,96.0,19.3
36,Switzerland,7.694,11.136,0.949,74.4,0.913,0.036,0.294,0.798,0.171,9.83,8574832.0,0.787362365,Switzerland,Europe,Western Europe,15.0,0.1,88.0,0.37,80.0,85.3,0.6,37466.0,,22.0,,83.7,7.5,1.82,62283.0,93.0,1.9,78.0,2.3,506.0,,49.0,95.0,17.5
37,Turkey,4.872,10.246,0.792,67.2,0.631,-0.136,0.76,0.422,0.368,2.34,83429615.0,,Turkey,Asia,Western Asia,20.0,8.0,39.0,32.64,52.0,59.8,1.4,,,20.0,12.5,78.0,5.5,2.39,,86.0,1.0,69.0,1.5,425.0,14.79,86.0,65.0,18.3
38,United Kingdom,7.157,10.751,0.943,72.5,0.854,0.271,0.485,0.775,0.251,6.88,66834405.0,0.898537213,United Kingdom,Europe,Northern Europe,11.0,0.3,81.0,12.15,75.0,77.7,0.2,28715.0,548392.0,26.0,4.5,81.2,6.8,1.13,43732.0,94.0,1.9,69.0,3.1,500.0,14.92,69.0,84.0,17.5
39,United States,6.944,11.043,0.917,68.2,0.836,0.144,0.707,0.815,0.244,14.51,328239523.0,0.869105272,United States,Americas,Northern America,10.0,0.1,91.0,11.09,70.0,73.9,5.5,45284.0,632100.0,19.0,7.7,78.6,6.9,0.66,60558.0,91.0,2.4,88.0,3.1,488.0,14.44,65.0,83.0,17.2
