Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,SuicideRate,SuicideRateLower,SuicideRateUpper
2009,Senegal,SEN,Africa,AFR,Female,FMLE,5.76,3.55,8.91
2009,Tanzania,TZA,Africa,AFR,Female,FMLE,5.8,3.56,8.89
2009,Bahamas,BHS,Americas,AMR,Male,MLE,5.8,4.3,7.6
2009,Albania,ALB,Europe,EUR,Female,FMLE,5.84,4.31,7.69
2009,Madagascar,MDG,Africa,AFR,Female,FMLE,5.87,3.48,9.2
2009,DR Congo,COD,Africa,AFR,Female,FMLE,5.89,3.52,9.19
2009,Venezuela,VEN,Americas,AMR,Male,MLE,5.89,4.79,7.07
2009,Israel,ISR,Europe,EUR,Both sexes,BTSX,5.91,5.02,6.89
2009,Kazakhstan,KAZ,Europe,EUR,Male,MLE,51.27,44.73,58.27
2009,Guyana,GUY,Americas,AMR,Male,MLE,53.67,42.29,66.98
2009,Botswana,BWA,Africa,AFR,Male,MLE,55.18,30.53,89.29
2009,Belarus,BLR,Europe,EUR,Male,MLE,55.67,48.36,63.41
2009,Kiribati,KIR,Western Pacific,WPR,Male,MLE,57.6,36.45,85.23
2009,Russia,RUS,Europe,EUR,Male,MLE,59.49,57.91,61.15
2009,Oman,OMN,Eastern Mediterranean,EMR,Both sexes,BTSX,6.02,4.03,8.85
2009,Cabo Verde,CPV,Africa,AFR,Female,FMLE,6.08,3.9,8.95
2009,Timor-Leste,TLS,South-East Asia,SEAR,Male,MLE,6.09,2.08,11.04
2009,Malta,MLT,Europe,EUR,Both sexes,BTSX,6.12,4.73,7.72
2009,Kenya,KEN,Africa,AFR,Female,FMLE,6.15,4.73,7.46
2009,Comoros,COM,Africa,AFR,Female,FMLE,6.22,3.56,10.0
2009,Myanmar,MMR,South-East Asia,SEAR,Male,MLE,6.3,3.79,9.47
2009,Cambodia,KHM,Western Pacific,WPR,Both sexes,BTSX,6.39,3.93,9.66
2009,Slovenia,SVN,Europe,EUR,Female,FMLE,6.4,5.16,7.8
2009,Latvia,LVA,Europe,EUR,Female,FMLE,6.45,5.15,8.0
2009,Norway,NOR,Europe,EUR,Female,FMLE,6.46,5.94,6.99
2009,Mali,MLI,Africa,AFR,Female,FMLE,6.56,3.73,10.56
2009,Switzerland,CHE,Europe,EUR,Female,FMLE,6.56,5.62,7.56
2009,United Arab Emirates,ARE,Eastern Mediterranean,EMR,Both sexes,BTSX,6.58,4.06,9.67
2009,Niger,NER,Africa,AFR,Female,FMLE,6.59,3.86,10.59
2009,Afghanistan,AFG,Eastern Mediterranean,EMR,Female,FMLE,6.59,3.87,10.51
2009,Morocco,MAR,Eastern Mediterranean,EMR,Female,FMLE,6.65,3.24,12.88
2009,Fiji,FJI,Western Pacific,WPR,Female,FMLE,6.65,4.58,9.22
2009,South Sudan,SSD,Africa,AFR,Both sexes,BTSX,6.71,3.72,11.39
2009,Qatar,QAT,Eastern Mediterranean,EMR,Both sexes,BTSX,6.73,4.52,10.03
2009,Cyprus,CYP,Europe,EUR,Male,MLE,6.78,4.54,9.16
2009,Benin,BEN,Africa,AFR,Female,FMLE,6.84,4.0,11.15
2009,Afghanistan,AFG,Eastern Mediterranean,EMR,Both sexes,BTSX,6.84,4.01,11.11
2009,Colombia,COL,Americas,AMR,Male,MLE,6.84,5.89,7.86
2009,Liberia,LBR,Africa,AFR,Female,FMLE,6.91,3.54,13.38
2009,Gambia,GMB,Africa,AFR,Female,FMLE,6.93,4.14,10.86
2009,Tonga,TON,Western Pacific,WPR,Male,MLE,6.96,4.44,10.36
2009,Tajikistan,TJK,Europe,EUR,Male,MLE,6.96,4.56,9.89
2009,Malawi,MWI,Africa,AFR,Female,FMLE,6.98,4.31,10.53
2009,Namibia,NAM,Africa,AFR,Female,FMLE,6.99,3.67,11.81
2009,Bolivia,BOL,Americas,AMR,Both sexes,BTSX,6.99,3.9,11.3
2009,Laos,LAO,Western Pacific,WPR,Both sexes,BTSX,6.99,3.94,11.27
2009,Lithuania,LTU,Europe,EUR,Male,MLE,60.58,53.69,67.83
2009,St. Lucia,LCA,Americas,AMR,Both sexes,BTSX,7.02,5.3,9.09
2009,Sudan,SDN,Eastern Mediterranean,EMR,Male,MLE,7.03,3.48,12.12
2009,Afghanistan,AFG,Eastern Mediterranean,EMR,Male,MLE,7.03,4.11,11.62
2009,Paraguay,PRY,Americas,AMR,Male,MLE,7.03,4.38,9.21
2009,Samoa,WSM,Western Pacific,WPR,Female,FMLE,7.05,3.99,11.17
2009,Rwanda,RWA,Africa,AFR,Female,FMLE,7.08,4.18,11.23
2009,Djibouti,DJI,Eastern Mediterranean,EMR,Female,FMLE,7.15,3.68,12.37
2009,United Kingdom,GBR,Europe,EUR,Both sexes,BTSX,7.15,6.88,7.44
2009,France,FRA,Europe,EUR,Female,FMLE,7.16,6.23,8.13
2009,Bhutan,BTN,South-East Asia,SEAR,Male,MLE,7.17,3.99,12.03
2009,Serbia,SRB,Europe,EUR,Female,FMLE,7.21,6.02,8.53
2009,Mauritania,MRT,Africa,AFR,Male,MLE,7.26,3.75,13.27
2009,Cote d'Ivoire,CIV,Africa,AFR,Female,FMLE,7.27,4.18,11.68
2009,Thailand,THA,South-East Asia,SEAR,Both sexes,BTSX,7.27,5.1,9.84
2009,Seychelles,SYC,Africa,AFR,Both sexes,BTSX,7.29,5.02,10.09
2009,Vietnam,VNM,Western Pacific,WPR,Both sexes,BTSX,7.31,4.33,10.56
2009,Georgia,GEO,Europe,EUR,Both sexes,BTSX,7.36,5.52,9.59
2009,Libya,LBY,Eastern Mediterranean,EMR,Male,MLE,7.37,4.38,11.82
2009,Iraq,IRQ,Eastern Mediterranean,EMR,Male,MLE,7.37,4.48,12.14
2009,Bangladesh,BGD,South-East Asia,SEAR,Male,MLE,7.4,5.07,10.75
2009,North Korea,PRK,South-East Asia,SEAR,Female,FMLE,7.47,4.29,11.86
2009,Belize,BLZ,Americas,AMR,Both sexes,BTSX,7.48,5.69,9.61
2009,Somalia,SOM,Eastern Mediterranean,EMR,Female,FMLE,7.49,3.99,12.74
2009,Saudi Arabia,SAU,Eastern Mediterranean,EMR,Male,MLE,7.57,5.33,11.47
2009,Iceland,ISL,Europe,EUR,Female,FMLE,7.59,5.79,9.72
2009,Iran,IRN,Eastern Mediterranean,EMR,Male,MLE,7.61,6.08,10.29
2009,Azerbaijan,AZE,Europe,EUR,Male,MLE,7.62,4.17,10.97
2009,United Arab Emirates,ARE,Eastern Mediterranean,EMR,Male,MLE,7.62,4.68,11.15
2009,Yemen,YEM,Eastern Mediterranean,EMR,Both sexes,BTSX,7.63,3.98,12.86
2009,Bahrain,BHR,Eastern Mediterranean,EMR,Both sexes,BTSX,7.65,4.59,10.24
2009,Burkina Faso,BFA,Africa,AFR,Female,FMLE,7.71,4.72,11.79
2009,Sweden,SWE,Europe,EUR,Female,FMLE,7.71,6.8,8.69
2009,Italy,ITA,Europe,EUR,Male,MLE,7.75,7.32,15.31
2009,Netherlands,NLD,Europe,EUR,Both sexes,BTSX,7.78,6.85,8.77
2009,Armenia,ARM,Europe,EUR,Male,MLE,7.79,6.29,9.49
2009,Mongolia,MNG,Western Pacific,WPR,Female,FMLE,7.82,5.01,11.53
2009,Guinea,GIN,Africa,AFR,Female,FMLE,7.85,4.61,12.8
2009,Chad,TCD,Africa,AFR,Female,FMLE,7.9,4.17,14.93
2009,Hungary,HUN,Europe,EUR,Female,FMLE,7.93,6.81,9.16
2009,Albania,ALB,Europe,EUR,Both sexes,BTSX,7.96,4.82,10.75
2009,Eswatini,SWZ,Africa,AFR,Both sexes,BTSX,75.15,37.44,127.9
2009,Guinea-Bissau,GNB,Africa,AFR,Female,FMLE,8.0,4.7,12.96
2009,Macedonia,MKD,Europe,EUR,Both sexes,BTSX,8.11,5.97,10.55
2009,Mexico,MEX,Americas,AMR,Male,MLE,8.11,7.72,8.5
2009,Sierra Leone,SLE,Africa,AFR,Female,FMLE,8.14,4.69,13.27
2009,Qatar,QAT,Eastern Mediterranean,EMR,Male,MLE,8.22,5.52,12.37
2009,Malaysia,MYS,Western Pacific,WPR,Male,MLE,8.22,5.69,11.5
2009,Ethiopia,ETH,Africa,AFR,Female,FMLE,8.22,6.29,10.61
2009,Uzbekistan,UZB,Europe,EUR,Both sexes,BTSX,8.22,6.85,9.76
2009,Argentina,ARG,Americas,AMR,Both sexes,BTSX,8.35,7.21,12.97
2009,Brazil,BRA,Americas,AMR,Male,MLE,8.35,7.83,17.0
2009,Zambia,ZMB,Africa,AFR,Female,FMLE,8.4,5.14,12.95
2009,China,CHN,Western Pacific,WPR,Female,FMLE,8.4,7.44,9.44
2009,Nicaragua,NIC,Americas,AMR,Male,MLE,8.47,5.73,10.75
2009,Bulgaria,BGR,Europe,EUR,Both sexes,BTSX,8.51,7.23,9.97
2009,Bosnia and Herzegovina,BIH,Europe,EUR,Both sexes,BTSX,8.54,5.51,11.32
2009,Comoros,COM,Africa,AFR,Both sexes,BTSX,8.55,4.3,15.89
2009,Montenegro,MNE,Europe,EUR,Female,FMLE,8.55,6.3,11.23
2009,Liberia,LBR,Africa,AFR,Both sexes,BTSX,8.58,4.46,16.15
2009,Mauritius,MUS,Africa,AFR,Both sexes,BTSX,8.6,6.96,10.49
2009,Togo,TGO,Africa,AFR,Female,FMLE,8.61,4.9,14.01
2009,Portugal,PRT,Europe,EUR,Both sexes,BTSX,8.65,7.36,10.05
2009,Panama,PAN,Americas,AMR,Male,MLE,8.68,7.11,10.48
2009,Sri Lanka,LKA,South-East Asia,SEAR,Female,FMLE,8.72,7.33,10.21
2009,Oman,OMN,Eastern Mediterranean,EMR,Male,MLE,8.84,5.93,12.95
2009,Mali,MLI,Africa,AFR,Both sexes,BTSX,8.87,4.54,16.37
2009,Luxembourg,LUX,Europe,EUR,Both sexes,BTSX,8.9,7.07,10.97
2009,Belarus,BLR,Europe,EUR,Female,FMLE,8.93,7.44,10.52
2009,El Salvador,SLV,Americas,AMR,Both sexes,BTSX,8.95,6.79,11.87
2009,Nigeria,NGA,Africa,AFR,Both sexes,BTSX,8.97,5.32,14.29
2009,Spain,ESP,Europe,EUR,Male,MLE,8.97,7.91,10.09
2009,Lesotho,LSO,Africa,AFR,Both sexes,BTSX,84.63,31.62,156.2
2009,Burundi,BDI,Africa,AFR,Female,FMLE,9.02,5.37,14.35
2009,Singapore,SGP,Western Pacific,WPR,Both sexes,BTSX,9.03,7.65,10.56
2009,North Korea,PRK,South-East Asia,SEAR,Both sexes,BTSX,9.13,5.21,15.14
2009,Germany,DEU,Europe,EUR,Both sexes,BTSX,9.13,8.09,13.34
2009,Lithuania,LTU,Europe,EUR,Female,FMLE,9.25,7.71,10.96
2009,Belgium,BEL,Europe,EUR,Female,FMLE,9.3,8.09,10.59
2009,Bolivia,BOL,Americas,AMR,Male,MLE,9.4,5.38,14.57
2009,Dominican Republic,DOM,Americas,AMR,Male,MLE,9.41,6.28,13.9
2009,Israel,ISR,Europe,EUR,Male,MLE,9.41,8.11,10.79
2009,Finland,FIN,Europe,EUR,Female,FMLE,9.42,8.1,10.8
2009,Guatemala,GTM,Americas,AMR,Both sexes,BTSX,9.46,7.33,11.95
2009,Costa Rica,CRI,Americas,AMR,Male,MLE,9.48,8.05,11.06
2009,Equatorial Guinea,GNQ,Africa,AFR,Female,FMLE,9.59,4.36,17.72
2009,Yemen,YEM,Eastern Mediterranean,EMR,Male,MLE,9.6,4.99,16.12
2009,Cameroon,CMR,Africa,AFR,Female,FMLE,9.6,5.49,15.82
2009,Turkmenistan,TKM,Europe,EUR,Both sexes,BTSX,9.6,7.9,11.52
2009,Laos,LAO,Western Pacific,WPR,Male,MLE,9.61,5.38,15.66
2009,Morocco,MAR,Eastern Mediterranean,EMR,Both sexes,BTSX,9.66,4.33,17.77
2009,Cambodia,KHM,Western Pacific,WPR,Male,MLE,9.69,5.99,14.48
2009,Vanuatu,VUT,Western Pacific,WPR,Female,FMLE,9.73,5.32,16.01
2009,Mozambique,MOZ,Africa,AFR,Female,FMLE,9.73,5.53,15.44
2009,Eritrea,ERI,Africa,AFR,Female,FMLE,9.78,5.51,16.4
2009,Denmark,DNK,Europe,EUR,Both sexes,BTSX,9.81,8.42,11.36
2008,Antigua and Barbuda,ATG,Americas,AMR,Female,FMLE,0.0,0.0,0.0
2008,Barbados,BRB,Americas,AMR,Female,FMLE,0.22,0.17,0.29
2008,Antigua and Barbuda,ATG,Americas,AMR,Both sexes,BTSX,0.25,0.17,0.34
2008,St. Vincent and the Grenadines,VCT,Americas,AMR,Female,FMLE,0.5,0.37,0.66
2008,Antigua and Barbuda,ATG,Americas,AMR,Male,MLE,0.53,0.36,0.74
2008,Grenada,GRD,Americas,AMR,Female,FMLE,0.67,0.46,0.94
2008,Syria,SYR,Eastern Mediterranean,EMR,Female,FMLE,0.68,0.48,0.94
2008,Barbados,BRB,Americas,AMR,Both sexes,BTSX,0.72,0.56,0.93
2008,Jamaica,JAM,Americas,AMR,Female,FMLE,0.85,0.63,1.13
2008,Greece,GRC,Europe,EUR,Female,FMLE,0.89,0.7,1.1
2008,Maldives,MDV,South-East Asia,SEAR,Female,FMLE,1.09,0.68,1.68
2008,Philippines,PHL,Western Pacific,WPR,Female,FMLE,1.09,0.95,4.74
2008,Honduras,HND,Americas,AMR,Female,FMLE,1.11,0.61,1.87
